[-0.861614, -0.801614] ; [0.99605, 1.05605] ; [1.28677, 1.34677]
[-0.865299, -0.805299] ; [0.99606, 1.05606] ; [1.28654, 1.34654]
[-0.871877, -0.811877] ; [0.99555, 1.05555] ; [1.28474, 1.34474]
[-0.875187, -0.815187] ; [0.99537, 1.05537] ; [1.2839, 1.3439]
[-0.87865, -0.81865] ; [0.99521, 1.05521] ; [1.28295, 1.34295]
[-0.881787, -0.821787] ; [0.99487, 1.05487] ; [1.28199, 1.34199]
[-0.885654, -0.825654] ; [0.99498, 1.05498] ; [1.28181, 1.34181]
[-0.888316, -0.828316] ; [0.9945, 1.0545] ; [1.28017, 1.34017]
[-0.892113, -0.832113] ; [0.99446, 1.05446] ; [1.27982, 1.33982]
[-0.895402, -0.835402] ; [0.99419, 1.05419] ; [1.27896, 1.33896]
[-0.89853, -0.83853] ; [0.99395, 1.05395] ; [1.27805, 1.33805]
[-0.901054, -0.841054] ; [0.99327, 1.05327] ; [1.27635, 1.33635]
[-0.904721, -0.844721] ; [0.9932, 1.0532] ; [1.27607, 1.33607]
[-0.907222, -0.847222] ; [0.99266, 1.05266] ; [1.27445, 1.33445]
[-0.910791, -0.850791] ; [0.99273, 1.05273] ; [1.27414, 1.33414]
[-0.913894, -0.853894] ; [0.99235, 1.05235] ; [1.27328, 1.33328]
[-0.917379, -0.857379] ; [0.99229, 1.05229] ; [1.27297, 1.33297]
[-0.919766, -0.859766] ; [0.99178, 1.05178] ; [1.27132, 1.33132]
[-0.92277, -0.86277] ; [0.99153, 1.05153] ; [1.27055, 1.33055]
[-0.925665, -0.865665] ; [0.99118, 1.05118] ; [1.26957, 1.32957]
[-0.928937, -0.868937] ; [0.99115, 1.05115] ; [1.26923, 1.32923]
[-0.931679, -0.871679] ; [0.99082, 1.05082] ; [1.26831, 1.32831]
[-0.936572, -0.876572] ; [0.99001, 1.05001] ; [1.26587, 1.32587]
[-0.939631, -0.879631] ; [0.98994, 1.04994] ; [1.2655, 1.3255]
[-0.942178, -0.882178] ; [0.98965, 1.04965] ; [1.26457, 1.32457]
[-0.944704, -0.884704] ; [0.98937, 1.04937] ; [1.26369, 1.32369]
[-0.94709, -0.88709] ; [0.98907, 1.04907] ; [1.26278, 1.32278]
[-0.949402, -0.889402] ; [0.98874, 1.04874] ; [1.26181, 1.32181]
[-0.95168, -0.89168] ; [0.98845, 1.04845] ; [1.26091, 1.32091]
[-0.953443, -0.893443] ; [0.98785, 1.04785] ; [1.25939, 1.31939]
[-0.955975, -0.895975] ; [0.98787, 1.04787] ; [1.25905, 1.31905]
[-0.958002, -0.898002] ; [0.98757, 1.04757] ; [1.25812, 1.31812]
[-0.959956, -0.899956] ; [0.98726, 1.04726] ; [1.2572, 1.3172]
[-0.961429, -0.901429] ; [0.98667, 1.04667] ; [1.2557, 1.3157]
[-0.963212, -0.903212] ; [0.98637, 1.04637] ; [1.2548, 1.3148]
[-0.965372, -0.905372] ; [0.98626, 1.04626] ; [1.25447, 1.31447]
[-0.967029, -0.907029] ; [0.98597, 1.04597] ; [1.25356, 1.31356]
[-0.968589, -0.908589] ; [0.98575, 1.04575] ; [1.25271, 1.31271]
[-0.970118, -0.910118] ; [0.98545, 1.04545] ; [1.25189, 1.31189]
[-0.97151, -0.91151] ; [0.98515, 1.04515] ; [1.25094, 1.31094]
[-0.972796, -0.912796] ; [0.98493, 1.04493] ; [1.25008, 1.31008]
[-0.975271, -0.915271] ; [0.98447, 1.04447] ; [1.24839, 1.30839]
[-0.976287, -0.916287] ; [0.98421, 1.04421] ; [1.24749, 1.30749]
[-0.977356, -0.917356] ; [0.98401, 1.04401] ; [1.24664, 1.30664]
[-0.978296, -0.918296] ; [0.98387, 1.04387] ; [1.24581, 1.30581]
[-0.979074, -0.919074] ; [0.98374, 1.04374] ; [1.24498, 1.30498]
[-0.979831, -0.919831] ; [0.98352, 1.04352] ; [1.24406, 1.30406]
[-0.980438, -0.920438] ; [0.98339, 1.04339] ; [1.24324, 1.30324]
[-0.981017, -0.921017] ; [0.98329, 1.04329] ; [1.24236, 1.30236]
[-0.981559, -0.921559] ; [0.98311, 1.04311] ; [1.24155, 1.30155]
[-0.981987, -0.921987] ; [0.98305, 1.04305] ; [1.24067, 1.30067]
[-0.982312, -0.922312] ; [0.9829, 1.0429] ; [1.2398, 1.2998]
[-0.982577, -0.922577] ; [0.98279, 1.04279] ; [1.23896, 1.29896]
[-0.982787, -0.922787] ; [0.98273, 1.04273] ; [1.23814, 1.29814]
[-0.982855, -0.922855] ; [0.98259, 1.04259] ; [1.23733, 1.29733]
[-0.982867, -0.922867] ; [0.98248, 1.04248] ; [1.23644, 1.29644]
[-0.982845, -0.922845] ; [0.98243, 1.04243] ; [1.23555, 1.29555]
[-0.982737, -0.922737] ; [0.98233, 1.04233] ; [1.23472, 1.29472]
[-0.982504, -0.922504] ; [0.98224, 1.04224] ; [1.23391, 1.29391]
[-0.981832, -0.921832] ; [0.98216, 1.04216] ; [1.23219, 1.29219]
[-0.981384, -0.921384] ; [0.98205, 1.04205] ; [1.23136, 1.29136]
[-0.980891, -0.920891] ; [0.982, 1.042] ; [1.23053, 1.29053]
[-0.980347, -0.920347] ; [0.98198, 1.04198] ; [1.22977, 1.28977]
[-0.979799, -0.919799] ; [0.98202, 1.04202] ; [1.22904, 1.28904]
[-0.979025, -0.919025] ; [0.98195, 1.04195] ; [1.22809, 1.28809]
[-0.978228, -0.918228] ; [0.98191, 1.04191] ; [1.22728, 1.28728]
[-0.977439, -0.917439] ; [0.98186, 1.04186] ; [1.22654, 1.28654]
[-0.976521, -0.916521] ; [0.98188, 1.04188] ; [1.22577, 1.28577]
[-0.975569, -0.915569] ; [0.98192, 1.04192] ; [1.22508, 1.28508]
[-0.974519, -0.914519] ; [0.98194, 1.04194] ; [1.22434, 1.28434]
[-0.973415, -0.913415] ; [0.98194, 1.04194] ; [1.22356, 1.28356]
[-0.972253, -0.912253] ; [0.98201, 1.04201] ; [1.22286, 1.28286]
